,material_emb_2
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,Metal
17,Metal
18,
19,Concrete
20,
21,
22,
23,
24,Concrete
25,Concrete
26,Concrete
27,Concrete
28,Concrete
29,Concrete
30,Concrete
31,Concrete
32,Clays
33,Clays
34,Stone
35,Stone
36,Stone
37,Clays
38,
39,
40,Concrete
41,Cement
42,Soil
43,Stone
44,Concrete
45,Concrete
46,Cement
47,Cement
48,Cement
49,Glass
50,Glass
51,
52,
53,
54,
55,Stone
56,Stone
57,Ceramic
58,
59,
60,
61,Sand
62,Ceramic
63,Soil
64,Ceramic
65,
66,
67,
68,
69,Synthetic minerals
70,Synthetic minerals
71,
72,Clays
73,Clays
74,
75,
76,
77,
78,Cement
79,
80,Cement
81,Cement
82,
83,Aluminium
84,Cement replacement materials
85,Cement replacement materials
86,
87,
88,Plastics
89,Aluminium
90,Aluminium
91,Wood
92,Wood
93,Wood Metal
94,Wood Metal
95,Polyvinyl chloride (PVC)
96,Glass
97,Glass
98,Glass
99,Glass
100,Glass
101,Glass
102,Glass
103,Glass
104,Glass
105,Glass
106,Glass
107,Resin
108,Synthetic minerals
109,Polyvinyl chloride (PVC)
110,
111,
112,
113,
114,Aluminium
115,Aluminium
116,Aluminium
117,Steel
118,Lead
119,Nickel steel
120,Nickel steel
121,Chrome steel
122,Chrome steel
123,Copper
124,Brass
125,Steel
126,Steel
127,Steel
128,Titanium
129,Wood
130,Wood
131,Wood
132,Wood
133,Wood
134,Wood
135,Wood
136,Wood
137,Wood
138,Wood
139,Wood
140,Wood
141,Wood
142,Wood
143,Wood
144,Wood
145,Wood
146,Wood
147,Wood
148,Wood
149,Wood
150,Wood
151,Wood
152,Wood
153,Wood
154,Medium-density fiberboards (MDF)
155,Mixed
156,Mixed
157,Mixed
158,Mixed
159,Mixed
160,Wood
161,Wood
162,Aerogel
163,Perlite aggregates
164,Vermiculite aggregates
165,Fibre
166,Fibre
167,Fibre
168,Fibre
169,Glass wool
170,Glass wool
171,Glass wool
172,Glass wool
173,Cork
174,Resin
175,Polystyrene (PS)
176,Polystyrene (PS)
177,Polystyrene (PS)
178,Polystyrene (PS)
179,Polyurethane (PU)
180,Polyurethane (PU)
181,Glass
182,Glass
183,Glass
184,Glass
185,Rockwool
186,Rockwool
187,Straw
188,Fibre
189,Cellulose Fibre
190,Cellulose Fibre
191,Resin
192,Resin
193,Rubber
194,Asphalt
195,Concrete
196,Concrete
197,Rubber
198,Ceramic
199,Cork
200,Cork
201,Cork
202,Stone
203,
204,
205,Stone
206,Stone
207,Stone
208,Stone
209,Stone
210,Stone
211,Wood
212,Wood
213,Wood
214,Polyvinyl chloride (PVC)
215,
216,
217,Fibre
218,Fibre
219,Fibre
220,
221,Aluminium
222,Aluminium
223,Wood
224,Wood
225,Wood
226,Aluminium
227,Wood
228,Mixed
229,Mixed
230,Mixed
231,Wood
232,Mixed
233,Acrylonitrile butadiene styrene (ABS)
234,Cast iron
235,High-density polyethylene (HDPE)
236,Polypropylene (PP)
237,Polyvinyl chloride (PVC)
238,
239,
240,Bitumen
241,Metal
242,Aluminium
243,Steel
244,Steel
245,Steel
246,Glass
247,Polyamide (PA)
248,Polycarbonate (PC)
249,Polyester
250,Polystyrene (PS)
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,Chrome steel
263,
